58,Reservoir Park,16317 NE 95th St,Redmond,,3,0,0,,47.685347,-122.122039,4
59,University PG,780 NE 50th St,Seattle,Northeast,2,0,1,,47.664777,-122.31998,3
60,Wallingford PF,4219 Wallingford Ave N,Seattle,Lake Union,2,0,0,,47.658539,-122.336559,3
61,Woodland Park (Lower),5776 W Greenlake Way N,Seattle,Green Lake,10,1,0,,47.669751,-122.343289,5
62,Woodland Park (Upper),1200 N 50th St,Seattle,Green Lake,4,0,0,,47.665358,-122.343568,3
63,Froula PG,7120 12th Ave NE,Seattle,Northeast,2,0,0,,47.680678,-122.315278,4
64,Victory Heights PG,1737 NE 106th St,Seattle,North,1,0,0,,47.705886,-122.30827,4
65,University of Washington,Walla Walla Rd,Seattle,,13,0,0,,47.654736,-122.301575,5
66,Meadowbrook PF,10528 30th Ave NE,Seattle,North,6,1,0,,47.706246,-122.29547,4
67,Magnuson Park,6500 Sand Point Way NE,Seattle,Northeast,6,0,0,,47.681309,-122.252319,4
68,Twin Ponds Park,14880 1st Ave NE,Shoreline,,1,0,1,,47.738075,-122.33032,3
69,Shorewood High School,749 N 175th St,Shoreline,,4,1,1,,47.754992,-122.347687,4
70,Shoreview Park,912 NW Innis Arden Way,Shoreline,,6,0,1,,47.750405,-122.36598,4
71,Bitter Lake PF,750 N 130th St,Seattle,Northwest,4,1,0,,47.723531,-122.349865,3
72,Bryant PG,4103 NE 65th St,Seattle,Northeast,2,0,0,,47.675101,-122.2839728,4
73,Enumclaw Park,44850 288th Ave SE,Enumclaw,,2,0,0,,47.197189,-121.960312,2
74,Five Mile Lake Park,36450 Military Rd S,Auburn,,2,0,0,,47.274112,-122.280267,4
75,Forest Ridge Park,150 Summit Ave N,Bremerton,,1,0,0,,47.5639783,-122.6576104,3
76,Kiwanis Park,1514 4th St,Bremerton,,2,0,0,,47.56603,-122.639434,3
77,Lebo Recreation Area,345 Lebo Blvd,Bremerton,,4,1,0,,47.58389,-122.638509,4
78,Manette Playfield,2635 E 13th St ,Bremerton,,2,0,0,,47.571835,-122.610383,3
79,Peninsula High School,14105 Purdy Drive NW,Gig Harbor,,4,0,0,,47.388246,-122.622603,4
80,South Whidbey High School,5675 Maxwelton Road,Langley,,7,0,0,,48.004934,-122.41191,2
81,View Ridge Elementary School,1300 E 30th,Bremerton,,4,0,0,,47.590797,-122.625725,2
82,Clark Park,2450 Oakes Ave,Everett,,6,1,0,,47.985107,-122.203867,4
83,Maple Valley Heights Park,18750 SE 164th St,Renton,,2,0,0,,47.455201,-122.090533,1
84,Westwood Highlands Park,5501 136th PL SE,Bellevue,,1,0,0,,47.5531228,-122.1584152,3
85,Bellevue High School,640 108th Ave SE,Bellevue,,6,1,0,,47.603248,-122.197226,4
86,Enatai Neighborhood Park,2412 108th Ave SE,Bellevue,,2,0,0,,47.5880308,-122.196904,4
87,Highland Park and Community Center,14224 NE Bel-Red Rd,Bellevue,,2,1,0,,47.625256,-122.151167,4
88,Norwood Village Park,2340 123rd Place SE,Bellevue,,2,0,0,,47.589755,-122.173867,4
89,Spiritridge Park,16100 SE 33rd Pl,Bellevue,,1,0,0,0,47.5808,-122.127081,5
90,Brier Park,2400 228th St SW,Brier,,2,1,0,,47.792249,-122.266339,3
91,Des Moines Field House,21930 11th Ave S,Des Moines,,2,1,0,,47.405286,-122.320466,4
92,Edmonds Civic Center,2400 228th St SW,Edmonds,,2,1,0,,47.813201,-122.37462,3
93,Seaview Park,8050 186th St W,Edmonds,,2,0,0,,47.830832,-122.342141,4
94,Mariner High School,12100 4th Ave W ,Everett,,6,1,0,,47.886985,-122.23813,4
95,Kent Swim & Tennis Club,25821 Woodland Way S,Kent,,5,0,0,,47.370287,-122.212102,4
96,Peter Kirk Memorial Park,380 Central Way,Kirkland,,2,1,0,,47.67779,-122.200995,4
97,South Lynnwood Neighborhood Park,21000 61st Ave W,Lynnwood,,2,0,0,,47.808213,-122.314956,3
98,Ballinger Park,23000 Lakeview Drive,Mountlake Terrace,,2,0,0,,47.790288,-122.326192,4
99,Evergreen Playfield,5420 224th SW,Mountlake Terrace,,4,1,0,,47.796231,-122.306499,4
100,Sunset Playfield,13633 18th Ave S,SeaTac,,2,0,1,,47.480928,-122.310662,4
