52,Preston Park,City Park,Preston,Shoreline,2,0,0,0,47.523515,-121.929546,0
53,Kamiak High School,4800 Chennault Beach Rd,Mukilteo,,6,1,0,0,47.9445396,-122.3045815,0
54,Evergreen Playfield,5420 224th SW,Mountlake Terrace,,4,1,0,0,47.7977006,-122.3085113,0
55,Ballinger Park,23000 Lakeview Drive,Mountlake Terrace,,2,0,0,0,47.790288,-122.326192,0
56,Highlands Park,16250 29th Drive SE,Mill Creek,,1,0,0,0,47.851854,-122.193007,0
57,Heron Park,2803 155th St SE,Mill Creek,,1,0,0,0,47.8575447,-122.1964076,0
58,Henry M Jackson High School,1508 136th St SE,Mill Creek,,14,1,0,0,47.873972,-122.208996,0
59,Luther Burbank Park,2000 84th Ave SE,Mercer Island,,3,0,0,0,47.589914,-122.227707,0
60,Mercer Island Lid Park,2020 W Mercer Way,Mercer Island,,4,1,0,0,47.5837547,-122.2208339,0
61,Homestead Park,8835 SE 40th St,Mercer Island,,6,1,0,0,47.5745201,-122.226326,0
62,Maple Valley Heights Park,18750 SE 164th St,Maple Valley,,2,0,0,0,47.3661111,-122.0447222,0
63,South Lynnwood Neighborhood Park,21000 61st Ave W,Lynnwood,,2,0,0,0,47.808848,-122.3152666,0
64,Pioneer Neighborhood Park,Pioneer Park Rd,Lynnwood,,2,0,0,0,47.83542,-122.283137,0
65,Lynnwood Athletic Complex,17902 30th Pl W,Lynnwood,,5,1,0,0,47.8318073,-122.2739063,0
66,Lynndale Park,18927 72nd Ave W,Lynnwood,,4,1,0,0,47.828463,-122.333196,0
67,South Whidbey High School,5675 Maxwelton Road,Langley,,7,0,0,0,47.9974097,-122.4162767,2
68,Lake Forest Park Elementary School,18500 37th Ave NE,Lake Forest Park,,2,0,0,0,47.7625745,-122.289181,0
69,Peter Kirk Memorial Park,380 Central Way,Kirkland,,2,1,0,0,47.677355,-122.2034925,0
70,Lake Washington High School,12100 NE 80th,Kirkland,,6,0,0,0,47.673653,-122.181171,0
71,Juanita High School,10601 NE 132nd St,Kirkland,,6,0,0,0,47.714916,-122.198567,0
72,Juanita Beach Park,9450 Juanita Dr NE,Kirkland,,2,1,0,0,47.7052646,-122.2134584,0
73,West Fenwick Park,3900 Reith Rd,Kent,,2,0,0,0,47.369883,-122.2814088,0
74,East Hill Park,23200 104th Ave SE,Kent,,2,0,0,0,47.39343,-122.2073622,0
75,Scenic Hill Park,25826 Woodland Way S,Kent,,5,0,0,0,47.368057,-122.2094627,0
76,Kent Memorial Park,900 Central Ave N,Kent,,2,0,0,0,47.3891097,-122.2310678,0
77,Kent Meridian High School,10020 SE 256th St,Kent,,9,1,0,0,47.3726018,-122.2067746,0
78,Glenn Nelson Park,26550 Military Rd S,Kent,,2,0,0,0,47.3613829,-122.291909,0
79,Garrison Creek Park,9600 S 218th St,Kent,,5,0,0,0,47.4068802,-122.2102996,0
80,Turnkey Park,10920 SE 248th St,Kent,,1,0,0,0,47.3797272,-122.1946952,0
81,Boeing Tennis Center,20403 68th Ave S,Kent,,10,1,0,1,47.41958,-122.251976,0
82,Inglemoor High School,15500 Simonds Rd SE,Kenmore,,6,0,0,0,47.742292,-122.222182,0
83,Peninsula High School,14105 Purdy Drive NW,Gig Harbor,,4,0,0,0,47.388246,-122.622603,0
84,Mariner High School,12100 4th Ave W ,Everett,,6,1,0,0,47.889183,-122.235196,0
85,Clark Park,2450 Oakes Ave,Everett,,6,1,0,0,47.9858068,-122.2028372,0
86,Enumclaw Park,44850 288th Ave SE,Enumclaw,,2,0,0,0,47.1983301,-121.9510545,0
87,Yost Park,9500 Bowdoin Way,Edmonds,,2,0,0,0,47.807257,-122.361337,0
88,Seaview Park,8050 186th St W,Edmonds,,2,0,0,0,47.8304885,-122.3413866,0
89,Edmonds-Woodway High School (Old),23200 100th Ave W,Edmonds,,4,0,0,0,47.787917,-122.36686,0
90,Edmonds-Woodway High School (New),7600 212th St SW,Edmonds,,5,1,0,0,47.805056,-122.338095,0
91,Edmonds Civic Center,2400 228th St SW,Edmonds,,2,1,0,0,47.8113271,-122.3748673,0
92,Des Moines Field House,1000 S 220th Street,Des Moines,,2,1,0,0,47.404636,-122.3207547,0
93,Brier Park,2400 228th St SW,Brier,,2,1,0,0,47.7920408,-122.2720279,0
94,View Ridge Elementary School,1300 E 30th,Bremerton,,4,0,0,0,0,0,2
95,Kiwanis Park,1514 4th St,Bremerton,,2,0,0,0,0,0,3
96,Forest Ridge Park,150 Summit Ave N,Bremerton,,1,0,0,0,0,0,3
97,Manette Playfield,2635 E 13th St ,Bremerton,,2,0,0,0,0,0,3
98,Lebo Recreation Area,345 Lebo Blvd,Bremerton,,4,1,0,0,0,0,4
99,Bothel High School,8900 NE 185th St,Bothel,,6,1,0,0,47.759721,-122.217922,0
100,Westwood Highlands Park,5501 136th PL SE,Bellevue,,1,0,0,0,47.5531228,-122.1584152,0
101,Robinswood Tennis Center,2400 151st PL SE,Bellevue,,8,1,0,1,47.5897662,-122.1380064,0
102,Norwood Village Park,12309 SE 23rd Place,Bellevue,,2,0,0,0,47.5899199,-122.1732599,0
103,Lakemont Highlands Park,6250 160th Ave SE,Bellevue,,1,0,0,0,47.5467706,-122.1257774,0
104,Lakemont Community Park,5280 Village Park Drive SE,Bellevue,,2,0,0,0,47.5568302,-122.1164669,0
105,Killarney Glenn Park,1850 104th Ave SE,Bellevue,,2,1,0,0,47.5924399,-122.201287,0
106,Hillaire Park,15825 NE 6th St ,Bellevue,,2,0,0,0,47.6151844,-122.1295074,0
107,Highland Park and Community Center,14224 NE Bel-Red Rd,Bellevue,,2,1,0,0,47.625719,-122.150846,0
108,Hidden Valley Sports Park,2223 112th Avenue NE,Bellevue,,1,0,0,0,47.628159,-122.190972,0
109,Enatai Neighborhood Park,2412 108th Ave SE,Bellevue,,2,0,0,0,47.5880308,-122.1977112,0
110,Crossroads Park,16000 NE 10th St,Bellevue,,2,0,0,0,47.620129,-122.128036,0
111,Cherry Crest Park,3200 126th Ave NE,Bellevue,,3,0,0,0,47.6389176,-122.1737254,0
112,Bovee Park,1500 108th Ave NE,Bellevue,,2,0,0,0,47.6238129,-122.1962634,0
113,Bellevue High School,601 108th Ave SE,Bellevue,,6,1,0,0,47.6044137,-122.1960305,0
114,Five Mile Lake Park,36450 Military Rd S,Auburn,,2,0,0,0,47.274766,-122.281169,4
115,East Lake High School,400 228th NE,Redmond,,8,1,0,0,47.613353,-122.031369,0
116,Grasslawn Park,7031 148th Ave NE,Redmond,,6,1,0,0,47.668821,-122.143591,4
117,Marymoor Park,Northeast Marymoor Way,Redmond,,4,0,0,0,47.665084,-122.122328,3
118,Redmond High School,17500 NE 104th St,Redmond,,6,1,0,0,47.694733,-122.108122,4
119,Redmond Junior HS,10050 166th Ave NE,Redmond,,6,0,0,0,47.691031,-122.119957,3
120,Perrigo Park,9108 196th Ave NE,Redmond,,3,1,0,0,47.6821814,-122.079125,0
121,Hartman Park,10278 176th Ave NE,Redmond,,2,0,0,0,47.691037,-122.10812,4
